"","cowcode","country","Date","coup_id","year","month","day","event_type","realized","unrealized","military_coup","rebel_coup","palace_coup","popular_revolt","dissident_action","foreign_coup","i_m_trans","forced_resign","counter_coup","auto_coup","attempted","conspiracy","ambiguous","no_harm","exec_injured","exec_killed","house_arrest","jailed","tried","fled","expatriated"
"547","436","Niger","4/15/1974","43604151974","1974","4","15","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"548","436","Niger","8/2/1975","43608021975","1975","8","2","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"549","436","Niger","3/15/1976","43603151976","1976","3","15","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"550","436","Niger","10/5/1983","43610051983","1983","10","5","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"551","436","Niger","1/27/1996","43601271996","1996","1","27","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"552","436","Niger","1/2/1998","43601021998","1998","1","2","conspiracy",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"553","436","Niger","4/9/1999","43604091999","1999","4","9","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"554","475","Nigeria","10/1/1962","47510011962","1962","10","1","conspiracy",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"555","475","Nigeria","1/15/1966","47501151966","1966","1","15","coup",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"556","475","Nigeria","7/29/1966","47507291966","1966","7","29","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"557","475","Nigeria","7/29/1975","47507291975","1975","7","29","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"558","475","Nigeria","2/13/1976","47502131976","1976","2","13","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"559","475","Nigeria","12/31/1983","47512311983","1983","12","31","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"560","475","Nigeria","8/27/1985","47508271985","1985","8","27","coup",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"561","475","Nigeria","12/20/1985","47512201985","1985","12","20","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"562","475","Nigeria","4/22/1990","47504221990","1990","4","22","attempted",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"563","475","Nigeria","8/26/1993","47508261993","1993","8","26","coup",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"564","475","Nigeria","11/17/1993","47511171993","1993","11","17","coup",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"565","475","Nigeria","3/14/1995","47503141995","1995","3","14","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"566","475","Nigeria","12/22/1997","47512221997","1997","12","22","conspiracy",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"567","475","Nigeria","3/30/2004","47503302004","2004","3","30","conspiracy",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"568","698","Oman","7/23/1970","69807231970","1970","7","23","coup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"569","698","Oman","1/26/2005","69801262005","2005","1","26","conspiracy",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"570","770","Pakistan","3/9/1951","77003091951","1951","3","9","conspiracy",0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"571","770","Pakistan","10/7/1958","77010071958","1958","10","7","coup",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"572","770","Pakistan","10/27/1958","77010271958","1958","10","27","coup",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"573","770","Pakistan","3/25/1969","77003251969","1969","3","25","coup",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"574","770","Pakistan","12/20/1971","77012201971","1971","12","20","coup",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
